代码,标的,市值快照日期,快照时间,总市值(亿元),市值来源,市值状态,观察状态,AI路由状态,边界复核,主层级,细分,来源网站,来源条数,当前等级,第一变量,样本角色,下一步回源,证伪点,路由结论,审计状态,建议主层级,建议细分,业务证据等级,业务证据来源,业务证据抓取日期,公司类型,主营业务,判定理由,下一步动作
601939,建设银行,2026-07-10,15:34:59,26238.52,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601939.phtml,2026-07-12,国有商业银行,"商业银行业务,提供全面的商业银行产品与服务。",主营业务出现“商业银行”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
601398,工商银行,2026-07-10,15:34:59,26124.58,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601398.phtml,2026-07-12,国有商业银行,商业银行业务。,主营业务出现“商业银行”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
601288,农业银行,2026-07-10,15:34:59,21803.94,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601288.phtml,2026-07-12,国有商业银行,吸收公众存款;发放短期、中期和长期贷款;办理国内外结算;办理票据承兑与贴现;发行金融债券;代理发行、代理兑付、承销政府债券;买卖政府债券、金融债券;从事同业拆借;买卖、代理买卖外汇;从事银行卡业务;提供信用证服务及担保;代理收付款项业务;提供保管箱服务;经营结汇、售汇业务;经国务院银行业监督管理机构批准的其他业务及境外机构所在有关监管机构所批准经营的业务。,主营业务出现“商业银行”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
600941,中国移动,2026-07-10,15:34:59,19510.99,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类,中国AI 50,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,按细分补公告、年报、IR或产品页回源
601988,XD中国银,2026-07-10,15:34:59,18656.10,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601988.phtml,2026-07-12,国有商业银行,"从事商业银行业务,主要包括公司业务、个人银行业务及资金业务,亦从事投资银行及保险业务。",主营业务出现“商业银行”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
601857,中国石油,2026-07-10,15:34:59,16966.04,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,传统能源开采,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601857.phtml,2026-07-12,其它,"(i)原油及天然气的勘探、开发、生产、输送和销售以及新能源业务;(ii)原油及石油产品的炼制,基本及衍生化工产品、其他化工产品的生产和销售以及新材料业务;(iii)炼油产品和非油品的销售以及贸易业务;及(iv)天然气的输送及销售业务",主营业务出现“原油”，当前可见主业属于传统能源开采，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
300750,宁德时代,2026-07-10,15:35:45,16135.91,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待补证,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,信息不足,待补证,待补证,待核主营业务与AI关系,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/300750.phtml,2026-07-12,其它,宁德时代新能源科技股份有限公司是一家主要从事主要从事动力电池、储能电池的研发、生产、销售的中国公司。该公司的产品应用于乘用车、商用车、表前储能、表后储能等领域，以及工程机械、船舶、航空器等应用场景。动力电池产品主要包括电芯、模组或电箱及电池包。储能电池产品主要包括电芯、电池柜、储能集装箱以及交流侧系统等。该公司还从事电池材料和回收以及其他业务。该公司在国内和国外市场经营其业务。,主营业务出现“动力电池”，属于可能受AI基础设施间接带动的泛上游，不能仅因材料名称或概念标签认定为AI产业链。,优先回源年报、公告、投关材料或官网产品页，确认是否承担AI关键零部件、原材料、设备或基础设施供给。
600519,贵州茅台,2026-07-10,15:34:59,15063.23,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,食品饮料,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/600519.phtml,2026-07-12,其它,"贵州茅台酒系列产品的生产与销售,饮料、食品、包装材料的生产与销售,防伪技术开发;信息产业相关产品的研制和开发等。",主营业务出现“茅台酒”，当前可见主业属于食品饮料，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
688981,中芯国际,2026-07-10,15:34:59,13955.83,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类,中国AI 50,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,按细分补公告、年报、IR或产品页回源
600938,XD中国海,2026-07-10,15:34:59,13379.68,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,传统能源开采,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/600938.phtml,2026-07-12,其它,中国海洋石油有限公司是一家主要从事原油和天然气的勘探、生产及销售的中国公司。该公司经营三个分部。勘探及生产分部从事常规油气业务、页己油气业务、油砂业务和其他非常规油气业务。贸易业务分部从事原油转口贸易业务。公司业务分部从事总部管理、资金管理以及研究开发等业务。该公司主要在中国、加拿大、美国、英国、尼日利亚以及巴西等地开展业务。,主营业务出现“原油”，当前可见主业属于传统能源开采，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
