schema_version,l4_id,l1,l2,l3,l4,canonical_topic,sample_id,parent_l4_id,market,ticker,kind,name,status,wiki_path,wiki_sync_status,wiki_skip_reason,score,action,has_industry_logic,has_valuation_funds,has_technical_structure,has_score_reason,has_evidence_source,has_history,has_next_trigger,pending_reason,sample_reason,evidence_path,sample_confidence,confidence_reason,is_a_qualified,a_gap_reason,has_global_anchor,has_ashare_anchor,has_elasticity_or_counterexample,parent_topic,sample_role,blocker_type,has_davis_path,technical_source,technical_tool,technical_arguments,technical_structured_ready,technical_actual_source,technical_fallback_used,technical_confidence,technical_warnings,technical_cross_source_validated,technical_cross_source_ok
1,AI-L4-0001,上游底层算力与芯片层,计算芯片主链,GPU,AI产业链 - GPU,AI产业链 - GPU,,,,,topic,AI产业链 - GPU,已评分,topics/AI产业链 - GPU.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,74,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=一级来源较充分；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,技术直连未复核；升级动作：用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - GPU,细分评分主体,技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0002,上游底层算力与芯片层,计算芯片主链,CPU,AI产业链 - CPU,AI产业链 - CPU,,,,,topic,AI产业链 - CPU,已评分,topics/AI产业链 - CPU.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,69,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - CPU,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0003,上游底层算力与芯片层,计算芯片主链,NPU,AI产业链 - NPU,AI产业链 - NPU,,,,,topic,AI产业链 - NPU,已评分,topics/AI产业链 - NPU.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,69,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - NPU,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0004,上游底层算力与芯片层,计算芯片主链,TPU,AI产业链 - TPU,AI产业链 - TPU,,,,,topic,AI产业链 - TPU,已评分,topics/AI产业链 - TPU.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,69,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=一级来源较充分；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,技术直连未复核；升级动作：用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - TPU,细分评分主体,技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0005,上游底层算力与芯片层,计算芯片主链,DPU / SmartNIC,AI产业链 - DPU ／ SmartNIC,AI产业链 - DPU ／ SmartNIC,,,,,topic,AI产业链 - DPU ／ SmartNIC,已评分,topics/AI产业链 - DPU ／ SmartNIC.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,69,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - DPU ／ SmartNIC,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0006,上游底层算力与芯片层,计算芯片主链,ASIC / 专用加速芯片,AI产业链 - ASIC ／ 专用加速芯片,AI产业链 - ASIC ／ 专用加速芯片,,,,,topic,AI产业链 - ASIC ／ 专用加速芯片,已评分,topics/AI产业链 - ASIC ／ 专用加速芯片.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,69,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - ASIC ／ 专用加速芯片,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0007,上游底层算力与芯片层,计算芯片主链,AI 推理芯片,AI产业链 - AI 推理芯片,AI产业链 - AI 推理芯片,,,,,topic,AI产业链 - AI 推理芯片,已评分,topics/AI产业链 - AI 推理芯片.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,69,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - AI 推理芯片,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0008,上游底层算力与芯片层,计算芯片主链,边缘 AI 芯片,AI产业链 - 边缘 AI 芯片,AI产业链 - 边缘 AI 芯片,,,,,topic,AI产业链 - 边缘 AI 芯片,已评分,topics/AI产业链 - 边缘 AI 芯片.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,63,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - 边缘 AI 芯片,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0009,上游底层算力与芯片层,计算芯片主链,车载 AI 芯片,AI产业链 - 车载 AI 芯片,AI产业链 - 车载 AI 芯片,,,,,topic,AI产业链 - 车载 AI 芯片,已评分,topics/AI产业链 - 车载 AI 芯片.md,无需同步,AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面,63,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,AI产业链 - 车载 AI 芯片,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
1,AI-L4-0010,上游底层算力与芯片层,计算芯片主链,端侧 SoC,消费电子AI终端,消费电子AI终端,,,,,topic,消费电子AI终端,已评分,topics/消费电子AI终端.md,待同步,本轮 AI 研究仓已生成评分，canonical Wiki 尚未回写本周评分与评分历史。,63,持有,是,是,是,是,是,是,是,本轮行情跨源可比较源不足，仅作为阶段技术与资金代理。,全球锚=NVIDIA；A股承接锚=寒武纪；弹性/反证样本=AMD。,03_结果层/01_总表整合与AI映射/90_执行留痕/AI产业链周评分/2026-07-13/AI产业链证据增量_2026-07-13.md,B,升级总表：产业逻辑=旁证/代理为主；估值资金=已拆戴维斯路径；技术=项目代理技术。,否,一级来源/连续变量缺口；技术直连未复核；升级动作：补公司公告、财报、交易所文件或官方IR，把关键变量从旁证提升到一级来源。；用 Luna Stock MCP 或项目技术数据源补月线、周线、乖离率与执行位。,否,否,否,消费电子AI终端,细分评分主体,一级来源/连续变量缺口；技术直连未复核,是,项目代理技术,项目代理技术,项目卡片现有技术段落,否,项目代理技术,否,low,技术直连未复核,否,否
