"kind","name","status","wiki_path","wiki_sync_status","wiki_skip_reason","score","action","has_industry_logic","has_valuation_funds","has_technical_structure","has_score_reason","has_evidence_source","has_history","has_next_trigger","pending_reason","sample_reason","evidence_path","sample_confidence","confidence_reason","is_a_qualified","a_gap_reason","has_global_anchor","has_ashare_anchor","has_elasticity_or_counterexample","parent_topic","sample_role","blocker_type","has_davis_path","technical_source","technical_tool","technical_arguments","technical_structured_ready","technical_actual_source","technical_fallback_used","technical_confidence","technical_warnings","technical_cross_source_validated","technical_cross_source_ok"
"topic","AI产业链 - GPU","已评分","topics/AI产业链 - GPU.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","74","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","A","当前题材卡已经能回挂到项目内正式总表、周评分和三层理由，样本链完整度高于多数细分。","否","当前未通过正式A门槛，主要受 技术直连未复核 约束。","是","是","是","AI产业链 - GPU","细分评分主体","技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - CPU","已评分","topics/AI产业链 - CPU.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","69","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - CPU","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - NPU","已评分","topics/AI产业链 - NPU.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","69","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - NPU","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - TPU","已评分","topics/AI产业链 - TPU.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","69","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","A","当前题材卡已经能回挂到项目内正式总表、周评分和三层理由，样本链完整度高于多数细分。","否","当前未通过正式A门槛，主要受 技术直连未复核 约束。","是","是","是","AI产业链 - TPU","细分评分主体","技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - DPU ／ SmartNIC","已评分","topics/AI产业链 - DPU ／ SmartNIC.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","69","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - DPU ／ SmartNIC","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - ASIC ／ 专用加速芯片","已评分","topics/AI产业链 - ASIC ／ 专用加速芯片.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","69","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - ASIC ／ 专用加速芯片","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - AI 推理芯片","已评分","topics/AI产业链 - AI 推理芯片.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","69","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - AI 推理芯片","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 边缘 AI 芯片","已评分","topics/AI产业链 - 边缘 AI 芯片.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","63","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 边缘 AI 芯片","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 车载 AI 芯片","已评分","topics/AI产业链 - 车载 AI 芯片.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","63","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 车载 AI 芯片","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","消费电子AI终端","已评分","topics/消费电子AI终端.md","已同步","","63","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 NVIDIA、A 股承接锚 寒武纪 与弹性/反证样本 AMD。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","消费电子AI终端","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
