主层级,细分,来源网站,概念/题材,标的,代码,市场,来源页面,来源日期,来源等级,当前等级,第一变量,样本角色,下一步回源,证伪点,备注
安全合规治理,网络安全,东方财富,网络安全,国华退,000004,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0655,2026-07-05,B/C级页面线索,L0/L1,安全产品收入、政企客户、回款、合规需求,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
高速互联,PCB,东方财富,PCB,*ST康佳A,000016,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0877,2026-07-05,B/C级页面线索,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
存储链,存储芯片,东方财富,存储芯片,*ST康佳A,000016,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1137,2026-07-05,B/C级页面线索,L0/L1,价格、出货、客户绑定、测试/封测配套收入,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
晶圆制造与材料,第三代半导体,东方财富,第三代半导体,*ST康佳A,000016,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0952,2026-07-05,B/C级页面线索,L0/L1,订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
先进封装,先进封装,东方财富,先进封装,深科技,000021,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1101,2026-07-05,B/C级页面线索,L0/L1,封装产能、客户、订单、良率与CapEx回报,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
终端与具身智能,减速器,东方财富,减速器,飞亚达,000026,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1100,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,神州数码,000034,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,神州数码,000034,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,神州数码,000034,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
计算芯片,华为昇腾,东方财富,华为昇腾,神州数码,000034,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0995,2026-07-05,B/C级页面线索,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
