代码,标的,市值快照日期,快照时间,总市值(亿元),市值状态,观察状态,边界复核,主层级,细分,来源网站,来源条数,当前等级,第一变量,样本角色,下一步回源,证伪点
600941,中国移动,2026-07-10,15:34:59,19510.99,>=100亿元,强制观察,否,待二次归类,中国AI 50,既有AI候选宇宙,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
688981,中芯国际,2026-07-10,15:34:59,13955.83,>=100亿元,强制观察,否,待二次归类,中国AI 50,既有AI候选宇宙,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
601138,工业富联,2026-07-10,15:34:59,13150.68,>=100亿元,强制观察,否,待二次归类、终端与具身智能、高速互联,CPO概念、人工智能、机器人概念,既有AI候选宇宙,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
300308,中际旭创,2026-07-10,15:35:15,12200.44,>=100亿元,强制观察,否,待二次归类,中国AI 50,既有AI候选宇宙,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
688256,寒武纪,2026-07-10,15:34:59,8796.10,>=100亿元,强制观察,否,先进封装、工具链与基础软件、待二次归类,中国AI 50、人工智能、先进封装、边缘计算,既有AI候选宇宙,4,L0/L1,封装产能、客户、订单、良率与CapEx回报、待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
002594,比亚迪,2026-07-10,15:35:00,8205.48,>=100亿元,强制观察,否,数据中心与基础设施、终端与具身智能,数据中心(AIDC)、机器人概念,既有AI候选宇宙,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
688041,海光信息,2026-07-10,15:34:59,8204.91,>=100亿元,强制观察,否,待二次归类、计算芯片,AI芯片、中国AI 50、人工智能,既有AI候选宇宙,3,L0/L1,待补第一变量、芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
300502,新易盛,2026-07-10,15:35:45,7292.66,>=100亿元,强制观察,否,待二次归类、高速互联,CPO概念、中国AI 50、光通信模块,既有AI候选宇宙,3,L0/L1,待补第一变量、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
688347,华虹宏力,2026-07-10,15:34:59,6427.33,>=100亿元,强制观察,否,芯片制造与材料,半导体设备/晶圆制造/半导体材料,新浪公司资料主营业务预筛,1,L0,产品、客户、收入与AI业务纯度,全市场路由补位/L0,回源年报、公告、投关材料或官网产品页，核对产品、客户、收入与AI业务纯度后再升级。,年报、公告、投关或产品页不能证明直接AI产业链产品、客户或收入。
000333,美的集团,2026-07-10,15:35:45,6013.86,>=100亿元,强制观察,否,终端与具身智能,人形机器人,既有AI候选宇宙,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
