schema_version,l4_id,l1,l2,l3,l4,canonical_topic,research_coordinate,wiki_path
1,AI-L4-0001,上游底层算力与芯片层,计算芯片主链,GPU,AI产业链 - GPU,AI产业链 - GPU,上游底层算力与芯片层 -> 计算芯片主链 -> GPU,topics/AI产业链 - GPU.md
1,AI-L4-0002,上游底层算力与芯片层,计算芯片主链,CPU,AI产业链 - CPU,AI产业链 - CPU,上游底层算力与芯片层 -> 计算芯片主链 -> CPU,topics/AI产业链 - CPU.md
1,AI-L4-0003,上游底层算力与芯片层,计算芯片主链,NPU,AI产业链 - NPU,AI产业链 - NPU,上游底层算力与芯片层 -> 计算芯片主链 -> NPU,topics/AI产业链 - NPU.md
1,AI-L4-0004,上游底层算力与芯片层,计算芯片主链,TPU,AI产业链 - TPU,AI产业链 - TPU,上游底层算力与芯片层 -> 计算芯片主链 -> TPU,topics/AI产业链 - TPU.md
1,AI-L4-0005,上游底层算力与芯片层,计算芯片主链,DPU / SmartNIC,AI产业链 - DPU ／ SmartNIC,AI产业链 - DPU ／ SmartNIC,上游底层算力与芯片层 -> 计算芯片主链 -> DPU / SmartNIC,topics/AI产业链 - DPU ／ SmartNIC.md
1,AI-L4-0006,上游底层算力与芯片层,计算芯片主链,ASIC / 专用加速芯片,AI产业链 - ASIC ／ 专用加速芯片,AI产业链 - ASIC ／ 专用加速芯片,上游底层算力与芯片层 -> 计算芯片主链 -> ASIC / 专用加速芯片,topics/AI产业链 - ASIC ／ 专用加速芯片.md
1,AI-L4-0007,上游底层算力与芯片层,计算芯片主链,AI 推理芯片,AI产业链 - AI 推理芯片,AI产业链 - AI 推理芯片,上游底层算力与芯片层 -> 计算芯片主链 -> AI 推理芯片,topics/AI产业链 - AI 推理芯片.md
1,AI-L4-0008,上游底层算力与芯片层,计算芯片主链,边缘 AI 芯片,AI产业链 - 边缘 AI 芯片,AI产业链 - 边缘 AI 芯片,上游底层算力与芯片层 -> 计算芯片主链 -> 边缘 AI 芯片,topics/AI产业链 - 边缘 AI 芯片.md
1,AI-L4-0009,上游底层算力与芯片层,计算芯片主链,车载 AI 芯片,AI产业链 - 车载 AI 芯片,AI产业链 - 车载 AI 芯片,上游底层算力与芯片层 -> 计算芯片主链 -> 车载 AI 芯片,topics/AI产业链 - 车载 AI 芯片.md
1,AI-L4-0010,上游底层算力与芯片层,计算芯片主链,端侧 SoC,消费电子AI终端,消费电子AI终端,上游底层算力与芯片层 -> 计算芯片主链 -> 端侧 SoC,topics/消费电子AI终端.md
1,AI-L4-0011,上游底层算力与芯片层,芯片设计与基础能力,芯片架构,AI产业链 - 芯片架构,AI产业链 - 芯片架构,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 芯片架构,topics/AI产业链 - 芯片架构.md
1,AI-L4-0012,上游底层算力与芯片层,芯片设计与基础能力,IP 授权,AI产业链 - IP 授权,AI产业链 - IP 授权,上游底层算力与芯片层 -> 芯片设计与基础能力 -> IP 授权,topics/AI产业链 - IP 授权.md
1,AI-L4-0013,上游底层算力与芯片层,芯片设计与基础能力,EDA 工具,AI产业链 - EDA 工具,AI产业链 - EDA 工具,上游底层算力与芯片层 -> 芯片设计与基础能力 -> EDA 工具,topics/AI产业链 - EDA 工具.md
1,AI-L4-0014,上游底层算力与芯片层,芯片设计与基础能力,芯片设计服务,AI产业链 - 芯片设计服务,AI产业链 - 芯片设计服务,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 芯片设计服务,topics/AI产业链 - 芯片设计服务.md
1,AI-L4-0015,上游底层算力与芯片层,芯片设计与基础能力,验证服务,AI产业链 - 验证服务,AI产业链 - 验证服务,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 验证服务,topics/AI产业链 - 验证服务.md
1,AI-L4-0016,上游底层算力与芯片层,芯片设计与基础能力,掩膜版,AI产业链 - 掩膜版,AI产业链 - 掩膜版,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 掩膜版,topics/AI产业链 - 掩膜版.md
1,AI-L4-0017,上游底层算力与芯片层,晶圆制造与工艺,先进制程代工,AI产业链 - 先进制程代工,AI产业链 - 先进制程代工,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 先进制程代工,topics/AI产业链 - 先进制程代工.md
1,AI-L4-0018,上游底层算力与芯片层,晶圆制造与工艺,成熟制程代工,AI产业链 - 成熟制程代工,AI产业链 - 成熟制程代工,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 成熟制程代工,topics/AI产业链 - 成熟制程代工.md
1,AI-L4-0019,上游底层算力与芯片层,晶圆制造与工艺,晶圆制造设备,AI产业链 - 晶圆制造设备,AI产业链 - 晶圆制造设备,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 晶圆制造设备,topics/AI产业链 - 晶圆制造设备.md
1,AI-L4-0020,上游底层算力与芯片层,晶圆制造与工艺,光刻,AI产业链 - 光刻,AI产业链 - 光刻,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 光刻,topics/AI产业链 - 光刻.md
1,AI-L4-0021,上游底层算力与芯片层,晶圆制造与工艺,刻蚀,AI产业链 - 刻蚀,AI产业链 - 刻蚀,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 刻蚀,topics/AI产业链 - 刻蚀.md
1,AI-L4-0022,上游底层算力与芯片层,晶圆制造与工艺,薄膜沉积,AI产业链 - 薄膜沉积,AI产业链 - 薄膜沉积,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 薄膜沉积,topics/AI产业链 - 薄膜沉积.md
1,AI-L4-0023,上游底层算力与芯片层,晶圆制造与工艺,清洗,AI产业链 - 清洗,AI产业链 - 清洗,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 清洗,topics/AI产业链 - 清洗.md
1,AI-L4-0024,上游底层算力与芯片层,晶圆制造与工艺,检测量测,AI产业链 - 检测量测,AI产业链 - 检测量测,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 检测量测,topics/AI产业链 - 检测量测.md
1,AI-L4-0025,上游底层算力与芯片层,晶圆制造与工艺,CMP,AI产业链 - CMP,AI产业链 - CMP,上游底层算力与芯片层 -> 晶圆制造与工艺 -> CMP,topics/AI产业链 - CMP.md
1,AI-L4-0026,上游底层算力与芯片层,晶圆制造与工艺,离子注入,AI产业链 - 离子注入,AI产业链 - 离子注入,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 离子注入,topics/AI产业链 - 离子注入.md
1,AI-L4-0027,上游底层算力与芯片层,晶圆制造与工艺,工艺气体,AI产业链 - 工艺气体,AI产业链 - 工艺气体,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 工艺气体,topics/AI产业链 - 工艺气体.md
1,AI-L4-0028,上游底层算力与芯片层,晶圆制造与工艺,光刻胶,AI产业链 - 光刻胶,AI产业链 - 光刻胶,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 光刻胶,topics/AI产业链 - 光刻胶.md
1,AI-L4-0029,上游底层算力与芯片层,晶圆制造与工艺,靶材,AI产业链 - 靶材,AI产业链 - 靶材,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 靶材,topics/AI产业链 - 靶材.md
1,AI-L4-0030,上游底层算力与芯片层,晶圆制造与工艺,硅片,硅片,硅片,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 硅片,topics/硅片.md
1,AI-L4-0031,上游底层算力与芯片层,晶圆制造与工艺,化学品与湿电子化学品,AI产业链 - 化学品与湿电子化学品,AI产业链 - 化学品与湿电子化学品,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 化学品与湿电子化学品,topics/AI产业链 - 化学品与湿电子化学品.md
1,AI-L4-0032,上游底层算力与芯片层,晶圆制造与工艺,光掩模 blank,AI产业链 - 光掩模 blank,AI产业链 - 光掩模 blank,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 光掩模 blank,topics/AI产业链 - 光掩模 blank.md
1,AI-L4-0033,上游底层算力与芯片层,晶圆制造与工艺,掩模保护膜 / pellicle,AI产业链 - 掩模保护膜 ／ pellicle,AI产业链 - 掩模保护膜 ／ pellicle,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 掩模保护膜 / pellicle,topics/AI产业链 - 掩模保护膜 ／ pellicle.md
1,AI-L4-0034,上游底层算力与芯片层,晶圆制造与工艺,CMP slurry,AI产业链 - CMP slurry,AI产业链 - CMP slurry,上游底层算力与芯片层 -> 晶圆制造与工艺 -> CMP slurry,topics/AI产业链 - CMP slurry.md
1,AI-L4-0035,上游底层算力与芯片层,晶圆制造与工艺,CMP pad,AI产业链 - CMP pad,AI产业链 - CMP pad,上游底层算力与芯片层 -> 晶圆制造与工艺 -> CMP pad,topics/AI产业链 - CMP pad.md
1,AI-L4-0036,上游底层算力与芯片层,晶圆制造与工艺,前驱体 / 特气,AI产业链 - 前驱体 ／ 特气,AI产业链 - 前驱体 ／ 特气,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 前驱体 / 特气,topics/AI产业链 - 前驱体 ／ 特气.md
